listing_id,date,available,price
79690,2019-12-07,t,$185.00
79690,2019-12-06,t,$185.00
79690,2019-12-05,t,$185.00
79690,2019-12-04,t,$185.00
79690,2019-12-03,t,$185.00
79690,2019-12-02,t,$185.00
79690,2019-12-01,t,$185.00
79690,2019-11-30,t,$185.00
79690,2019-11-29,t,$185.00
79690,2019-11-28,t,$185.00
79690,2019-11-27,t,$185.00
79690,2019-11-26,t,$185.00
79690,2019-11-25,t,$185.00
79690,2019-11-24,t,$185.00
79690,2019-11-23,t,$185.00
79690,2019-11-22,t,$185.00
79690,2019-11-21,t,$185.00
79690,2019-11-20,t,$185.00
79690,2019-11-19,t,$185.00
79690,2019-11-18,t,$185.00
79690,2019-11-17,t,$185.00
79690,2019-11-16,t,$185.00
79690,2019-11-15,t,$185.00
79690,2019-11-14,t,$185.00
79690,2019-11-13,t,$185.00
79690,2019-11-12,t,$185.00
79690,2019-11-11,t,$185.00
79690,2019-11-10,t,$185.00
79690,2019-11-09,t,$185.00
79690,2019-11-08,t,$185.00
79690,2019-11-07,t,$185.00
79690,2019-11-06,t,$185.00
79690,2019-11-05,t,$185.00
79690,2019-11-04,t,$185.00
79690,2019-11-03,t,$185.00
79690,2019-11-02,t,$185.00
79690,2019-11-01,t,$185.00
79690,2019-10-31,t,$185.00
79690,2019-10-30,t,$185.00
79690,2019-10-29,t,$185.00
79690,2019-10-28,t,$185.00
79690,2019-10-27,t,$185.00
79690,2019-10-26,t,$185.00
79690,2019-10-25,t,$185.00
79690,2019-10-24,t,$185.00
79690,2019-10-23,t,$185.00
79690,2019-10-22,t,$185.00
79690,2019-10-21,t,$185.00
79690,2019-10-20,t,$185.00
79690,2019-10-19,t,$185.00
35065,2019-12-07,t,$137.00
35065,2019-12-06,t,$137.00
35065,2019-12-05,t,$137.00
35065,2019-12-04,t,$137.00
35065,2019-12-03,t,$137.00
35065,2019-12-02,t,$137.00
35065,2019-12-01,t,$137.00
35065,2019-11-30,t,$137.00
35065,2019-11-29,t,$137.00
35065,2019-11-28,t,$137.00
35065,2019-11-27,t,$137.00
35065,2019-11-26,t,$137.00
35065,2019-11-25,t,$137.00
35065,2019-11-24,t,$137.00
35065,2019-11-23,t,$137.00
35065,2019-11-22,t,$137.00
35065,2019-11-21,t,$137.00
35065,2019-11-20,t,$137.00
79690,2019-10-18,t,$185.00
79690,2019-10-17,t,$185.00
79690,2019-10-16,t,$185.00
79690,2019-10-15,t,$185.00
79690,2019-10-14,t,$185.00
79690,2019-10-13,t,$185.00
79690,2019-10-12,t,$185.00
79690,2019-10-11,t,$185.00
79690,2019-10-10,t,$185.00
79690,2019-10-09,t,$185.00
79690,2019-10-08,t,$185.00
79690,2019-10-07,t,$185.00
79690,2019-10-06,t,$185.00
79690,2019-10-05,t,$185.00
79690,2019-10-04,t,$185.00
79690,2019-10-03,t,$185.00
79690,2019-10-02,t,$185.00
79690,2019-10-01,t,$185.00
79690,2019-09-30,t,$185.00
79690,2019-09-29,t,$185.00
79690,2019-09-28,t,$185.00
79690,2019-09-27,t,$185.00
79690,2019-08-30,t,$185.00
79690,2019-08-29,t,$185.00
79690,2019-08-28,t,$185.00
79690,2019-08-27,t,$185.00
79690,2019-08-26,t,$185.00
79690,2019-08-25,t,$185.00
79690,2019-08-24,t,$185.00
79690,2019-08-23,t,$185.00
79690,2019-08-22,t,$185.00
